the_geom,NAME,URL,LINE,latitude,longitude,latitude&longitude
POINT (-74.00030814706824 40.73225482650675),W 4th St - Washington Sq (Lower),http://www.mta.info/nyct/subway/index.html,B-D-F-M,40.73225482650675,-74.00030814706824,40.73225482650675 -74.00030814706824
POINT (-73.83256899924748 40.846810332614844),Buhre Ave,http://www.mta.info/nyct/subway/index.html,6-6 Express,40.846810332614844,-73.83256899924748,40.846810332614844 -73.83256899924748
POINT (-73.97192000013308 40.757107333148234),51st St,http://www.mta.info/nyct/subway/index.html,4-6-6 Express,40.757107333148234,-73.97192000013308,40.757107333148234 -73.97192000013308
POINT (-73.97621799811347 40.78864433404891),86th St,http://www.mta.info/nyct/subway/index.html,1-2,40.78864433404891,-73.97621799811347,40.78864433404891 -73.97621799811347
POINT (-74.00413100111697 40.713065332984044),Brooklyn Bridge - City Hall,http://www.mta.info/nyct/subway/index.html,4-5-6-6 Express,40.713065332984044,-74.00413100111697,40.713065332984044 -74.00413100111697
POINT (-73.98207600124924 40.7460813321576),33rd St,http://www.mta.info/nyct/subway/index.html,4-6-6 Express,40.7460813321576,-73.98207600124924,40.7460813321576 -73.98207600124924
POINT (-73.96796700066442 40.76252633389173),Lexington Ave - 59th St,http://www.mta.info/nyct/subway/index.html,4-5-6-6 Express,40.76252633389173,-73.96796700066442,40.76252633389173 -73.96796700066442
POINT (-73.85736239433544 40.89314357506239),233rd St,http://www.mta.info/nyct/subway/index.html,2-5,40.89314357506239,-73.85736239433544,40.89314357506239 -73.85736239433544
POINT (-73.98220900041213 40.773440334231445),66th St - Lincoln Ctr,http://www.mta.info/nyct/subway/index.html,1-2,40.773440334231445,-73.98220900041213,40.773440334231445 -73.98220900041213
POINT (-73.89054899975386 40.82094833186627),Hunts Point Ave,http://www.mta.info/nyct/subway/index.html,6-6 Express,40.82094833186627,-73.89054899975386,40.82094833186627 -73.89054899975386
POINT (-74.00627700023756 40.722854331339036),Canal St,http://www.mta.info/nyct/subway/index.html,1-2,40.722854331339036,-74.00627700023756,40.722854331339036 -74.00627700023756
POINT (-73.83632199732654 40.843863334673635),Middletown Rd,http://www.mta.info/nyct/subway/index.html,6-6 Express,40.843863334673635,-73.83632199732654,40.843863334673635 -73.83632199732654
POINT (-73.98659900183978 40.7398643335507),23rd St,http://www.mta.info/nyct/subway/index.html,4-6-6 Express,40.7398643335507,-73.98659900183978,40.7398643335507 -73.98659900183978
POINT (-73.94526400065335 40.747023331863446),45th Rd - Court House Sq,http://www.mta.info/nyct/subway/index.html,7-7 Express,40.747023331863446,-73.94526400065335,40.747023331863446 -73.94526400065335
POINT (-73.99106999895504 40.73005433376933),Astor Pl,http://www.mta.info/nyct/subway/index.html,4-6-6 Express,40.73005433376933,-73.99106999895504,40.73005433376933 -73.99106999895504
POINT (-73.98192900168259 40.76824733393756),59th St - Columbus Circle,http://www.mta.info/nyct/subway/index.html,1-2,40.76824733393756,-73.98192900168259,40.76824733393756 -73.98192900168259
POINT (-73.9489160011607 40.74221633326165),Hunters Point Ave,http://www.mta.info/nyct/subway/index.html,7-7 Express,40.74221633326165,-73.9489160011607,40.74221633326165 -73.9489160011607
POINT (-73.95107000070685 40.785672333485294),96th St,http://www.mta.info/nyct/subway/index.html,4-6-6 Express,40.785672333485294,-73.95107000070685,40.785672333485294 -73.95107000070685
POINT (-73.84562499786716 40.75462233245772),Mets - Willets Point,http://www.mta.info/nyct/subway/index.html,7-7 Express,40.75462233245772,-73.84562499786716,40.75462233245772 -73.84562499786716
POINT (-73.99565700196479 40.74408133288406),23rd St,http://www.mta.info/nyct/subway/index.html,1-2,40.74408133288406,-73.99565700196479,40.74408133288406 -73.99565700196479
POINT (-74.00536700184291 40.72825133360782),Houston St,http://www.mta.info/nyct/subway/index.html,1-2,40.72825133360782,-74.00536700184291,40.72825133360782 -74.00536700184291
POINT (-73.92613800022275 40.81047633454132),3rd Ave - 138th St,http://www.mta.info/nyct/subway/index.html,6-6 Express,40.81047633454132,-73.92613800022275,40.81047633454132 -73.92613800022275
POINT (-73.84703599804547 40.83648833366287),Zerega Ave,http://www.mta.info/nyct/subway/index.html,6-6 Express,40.83648833366287,-73.84703599804547,40.83648833366287 -73.84703599804547
POINT (-73.8376829999374 40.681711334202696),104th St,http://www.mta.info/nyct/subway/index.html,A-S,40.681711334202696,-73.8376829999374,40.681711334202696 -73.8376829999374
POINT (-73.99467467829572 40.72593123822929),Bleecker St (Downtown),http://www.mta.info/nyct/subway/index.html,4-6-6 Express,40.72593123822929,-73.99467467829572,40.72593123822929 -73.99467467829572
POINT (-73.85122199920897 40.83425533183211),Castle Hill Ave,http://www.mta.info/nyct/subway/index.html,6-6 Express,40.83425533183211,-73.85122199920897,40.83425533183211 -73.85122199920897
POINT (-73.81583268677743 40.608402513981986),Broad Channel,http://www.mta.info/nyct/subway/index.html,A-S,40.608402513981986,-73.81583268677743,40.608402513981986 -73.81583268677743
POINT (-73.9685010000048 40.5763120005781),Ocean Pkwy,http://www.mta.info/nyct/subway/index.html,Q,40.5763120005781,-73.9685010000048,40.5763120005781 -73.9685010000048
POINT (-73.98384899991842 40.76172833308103),50th St,http://www.mta.info/nyct/subway/index.html,1-2,40.76172833308103,-73.98384899991842,40.76172833308103 -73.98384899991842
POINT (-73.95358099882006 40.74262633257131),Vernon Blvd - Jackson Ave,http://www.mta.info/nyct/subway/index.html,7-7 Express,40.74262633257131,-73.95358099882006,40.74262633257131 -73.95358099882006
POINT (-73.96387000148661 40.768141333903976),68th St - Hunter College,http://www.mta.info/nyct/subway/index.html,4-6-6 Express,40.768141333903976,-73.96387000148661,40.768141333903976 -73.96387000148661
POINT (-73.94016353439743 40.75063598438094),Queensboro Plz,http://www.mta.info/nyct/subway/index.html,7-7 Express-N-W,40.75063598438094,-73.94016353439743,40.75063598438094 -73.94016353439743
POINT (-73.8438529971175 40.68042933335036),Rockaway Blvd,http://www.mta.info/nyct/subway/index.html,A-S,40.68042933335036,-73.8438529971175,40.68042933335036 -73.8438529971175
POINT (-73.98995099886989 40.734673334561),Union Sq - 14th St,http://www.mta.info/nyct/subway/index.html,4-5-6-6 Express,40.734673334561,-73.98995099886989,40.734673334561 -73.98995099886989
POINT (-73.8695269997965 40.74914533273112),Junction Blvd,http://www.mta.info/nyct/subway/index.html,7-7 Express,40.74914533273112,-73.8695269997965,40.74914533273112 -73.8695269997965
POINT (-73.95999000126959 40.68888933367643),Classon Ave,http://www.mta.info/nyct/subway/index.html,G,40.68888933367643,-73.95999000126959,40.68888933367643 -73.95999000126959
POINT (-73.95352199987617 40.68962733491343),Bedford - Nostrand Aves,http://www.mta.info/nyct/subway/index.html,G,40.68962733491343,-73.95352199987617,40.68962733491343 -73.95352199987617
POINT (-73.979735806077 40.660036021685464),15th St - Prospect Park,http://www.mta.info/nyct/subway/index.html,F-G,40.660036021685464,-73.979735806077,40.660036021685464 -73.979735806077
POINT (-73.9802511788693 40.666245023690635),7th Ave,http://www.mta.info/nyct/subway/index.html,F-G,40.666245023690635,-73.9802511788693,40.666245023690635 -73.9802511788693
POINT (-73.97577599885992 40.65078200098824),Ft Hamilton Pkwy,http://www.mta.info/nyct/subway/index.html,F-G,40.65078200098824,-73.97577599885992,40.65078200098824 -73.97577599885992
POINT (-73.97972116167199 40.64427233346608),Church Ave,http://www.mta.info/nyct/subway/index.html,F-G,40.64427233346608,-73.97972116167199,40.64427233346608 -73.97972116167199
POINT (-73.9643577954928 40.64390493165595),Beverly Rd,http://www.mta.info/nyct/subway/index.html,B-Q,40.64390493165595,-73.9643577954928,40.64390493165595 -73.9643577954928
POINT (-73.96288246144869 40.6504935798757),Church Ave,http://www.mta.info/nyct/subway/index.html,B-Q,40.6504935798757,-73.96288246144869,40.6504935798757 -73.96288246144869
POINT (-73.96269486847974 40.63514227039474),Newkirk Ave,http://www.mta.info/nyct/subway/index.html,B-Q,40.63514227039474,-73.96269486847974,40.63514227039474 -73.96269486847974
POINT (-73.96145344000783 40.65507337471708),Parkside Ave,http://www.mta.info/nyct/subway/index.html,B-Q,40.65507337471708,-73.96145344000783,40.65507337471708 -73.96145344000783
POINT (-73.96203130451713 40.66163378817137),Prospect Park,http://www.mta.info/nyct/subway/index.html,B-Q-S,40.66163378817137,-73.96203130451713,40.66163378817137 -73.96203130451713
